id	sentiment	review
1	0	the movie begins in the past where a young boy named sam attempts to save celebi from a hunter .
2	0	"emerging from the human psyche and showing characteristics of abstract expressionism , minimalism and russian constructivism , graffiti removal has secured its"
3	0	"spurning her mother's insistence that she get on with her life , mary is thrown out of the house , rejected by joe , and expelled from school as she grows larg"
4	0	"amitabh can't believe the board of directors and his mind is filled with revenge and what better revenge than robbing the bank himself , ironic asit may sound"
5	0	"she , among others excentricities , talks to a small rock , gertrude , like if she was alive ."
6	0	this gives the girls a fair chance of pulling the wool over their eyes using their sexiness to poach any last vestige of common sense the dons might have had .
7	0	"styled after vh1's "" behind the music , "" this mockumentary profiles the rise and fall of an internet startup , called icevan . com ."
8	0	being blue is not his only predicament ; he also lacks the ability to outwardly express his emotions .
9	0	"the killer's clues are a perversion of biblical punishments for sins : stoning , burning , decapitation ."
10	0	david is a painter with painter's block who takes a job as a waiter to get some inspiration .
11	0	women craved him and men wanted to be him .
12	0	"set on an island off the coast of florida , a techno rave party attracts a diverse group of college coeds and a coast guard officer ."
13	0	"lesson to be learned : never , never mess with "" the gay mafia ! """
14	0	the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities betweenthe two brot
15	0	"they're jewish , they're grandmothers , and they're lesbians ."
16	0	"but he's neglecting his work , carping at his mom , and behaving badly toward his loyal friend bobbi ."
17	0	"with all this going on , gerry's estranged wife margaret is worried for her daughter's safety and finds herself another target in the race to findthe code ."
18	0	valento feels the heat and turns the table : he makes the dupe into one of his own and rubs the da's nose in it .
19	0	"saigon , 1952 , a beautiful , exotic , and mysterious city caught in the grips of the vietnamese war of liberation from the french colonial powers."
20	0	"deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking ."
21	0	"as a young teenager , he finds out who his father is ."
22	0	"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in "" &#193 ; nglio , "" l . a . 's east side."
23	0	"all these games of chasing , rejecting and seducing are played out in an economically and spiritually depressed hong kong , without much gusto ."
24	0	"television made him famous , but his biggest hits happened off screen ."
25	0	jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice .
26	0	"'bloody magic' is the story of zack , an eleven year old school boy , who's family is visited by three debt collectors ."
27	0	"however , jane , wendy's 12-year-old daughter , sees it all as make believe and refuses to believe in the tales ."
28	0	"called "" an elegant documentary "" by sundance and "" eloquent and deeply moving "" by the la times , toyo miyatake : infinite shades of gray is a penetrating por"
29	0	straight up : helicopters in action will take audiences on a series of aerial adventures .
30	0	a lapp woman anni gives a shelter to both of them at her farm .
31	0	"it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots ."
